Fri Jun 11 23:24:16 BRT 2021 - Log - Iniciou a aplicacao1

Fri Jun 11 23:28:14 BRT 2021 - Log - Iniciou a aplicacao1
Fri Jun 11 23:29:40 BRT 2021 - Log - Iniciou a aplicacao1
Fri Jun 11 23:35:59 BRT 2021 - Log - Iniciou a aplicacao1
Fri Jun 11 23:36:57 BRT 2021 - Log - Login mal sucedido
Sat Jun 12 00:04:52 BRT 2021 - Log - Iniciou a aplicacao1
Sat Jun 12 00:05:11 BRT 2021 - Log - Fechou a aplicação
Sat Jun 12 00:05:51 BRT 2021 - Log - Iniciou a aplicacao
Sat Jun 12 00:06:08 BRT 2021 - Log - Fechou a aplicação
Sat Jun 12 17:04:58 BRT 2021 - Log - Iniciou a aplicacao
Sat Jun 12 17:06:11 BRT 2021 - Log - Login mal sucedido
Sat Jun 12 17:06:49 BRT 2021 - Log - Login realizado com sucesso
Sat Jun 12 17:06:56 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:00 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:03 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:07 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:11 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:15 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:18 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:23 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:26 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:30 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:33 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:36 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:40 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:43 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:47 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:50 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:54 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:07:58 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:01 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:04 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:08 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:11 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:15 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:18 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:21 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:25 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:28 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:31 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:35 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:38 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:41 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:44 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:48 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:51 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:54 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:08:58 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:01 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:05 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:08 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:12 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:15 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:18 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:21 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:25 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:28 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:31 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:34 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:38 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:09:41 BRT 2021 - Log - Inseriu os dados da CPU
